ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
8205,Habsiguda,Hyderabad,Taste Of India,600.0,4.2,20,"North Indian,Chinese,Continental",Habsiguda Main Road,67.0
8213,Uppal,Hyderabad,Crunchy'S,,,20,,Uppal Ring Road,72.0
8241,Indiranagar,Bangalore,Paris Panini - French Street Food,450.0,4.4,1000,"French,Street Food",Hal 3Rd Stage,57.0
8272,Alwarpet,Chennai,Ashvita Bistro,500.0,,20,"Continental,Asian",Alwarpet,69.0
8275,Alwarpet,Chennai,Gogo Momo,350.0,,50,,Bava Road,
8323,Punjabi Bagh,Delhi,Blue Water Grille,600.0,3.9,100,"North Indian,Chinese,Continental,Fast Food",Punjabi Bagh,68.0
8469,Kasba,Kolkata,Sheerazi,350.0,4.3,50,"North Indian,Chinese",Kasba,68.0
8501,Alwarpet,Chennai,Dhabba Express,500.0,4.0,100,$$$,Cenotaph Road,62.0
8587,Barabazar Market,Kolkata,Royal Indian Hotel,450.0,4.3,1000,"North Indian,Biryani,Mughlai",Rabindra Sarani,36.0
8687,Manicktala,Kolkata,Urbans Cafe,350.0,4.2,20,"Chinese,Mexican,Continental",Near Balika Shiksha Sadan,46.0
8688,Punjagutta,Hyderabad,Friends Shawarma,,4.3,100,Lebanese,Road No 3,61.0
8698,Maniktala,Kolkata,New Paul Dhaba,400.0,3.9,1000,"North Indian,Chinese",Maniktala,42.0
8708,Esplanade,Kolkata,Lazzat,300.0,4.1,100,Chinese,Pearl Road Lower Range Beck Bagan,50.0
8751,Kankurgachi,Kolkata,Caafe 360 Degree- Kakurgachi,,3.9,100,,C.I.T. Road,59.0
8766,Ashok Nagar,Bangalore,Beijing Bites,450.0,4.2,500,,Richmond Road,33.0
8856,Thousand Lights,Chennai,Ox & Tomato,500.0,,50,"Italian,Pizzas,Pastas,Desserts,Continental,Salads",Opp To Ather Bike Showroom,55.0
8894,Mylapore,Chennai,Fresh Baked Goodness,250.0,,500,Bakery,Mylapore,63.0
8912,Taltala,Kolkata,Subway,350.0,4.3,500,Fast Food  Healthy Food  Salads  Snacks  Desserts  Beverages,Park Street,
